O*NET-SOC Code,Title,High School Diploma or Less,"Post-Secondary Certificate, Some College, or Associate's Degree",Bachelor's Degree,Postgraduate Degree,Values Achievement,Values Independence,Values Recognition,Values Relationships,Values Support,Values Working Conditions,Interest in Artistic Aspect,Interest in Conventional Aspect,Interest in Enterprising Aspect,Interest in Investigative Aspect,Interest in Realistic Aspect,Interest in Social Aspect
0,11-1011.00,Chief Executives,0.045,0.052,0.323,0.5810000000000001,0.904,1.0,1.0,0.714,0.761,0.904,0.297,0.714,0.983,0.463,0.186,0.503
1,11-1011.03,Chief Sustainability Officers,0.0,0.0,0.185,0.815,0.953,0.953,0.857,0.714,0.476,0.904,0.354,0.641,0.954,0.683,0.291,0.507
2,11-1021.00,General and Operations Managers,0.39199999999999996,0.333,0.273,0.003,0.761,0.857,0.81,0.904,0.667,0.857,0.187,0.76,0.994,0.341,0.317,0.481
4,11-2011.00,Advertising and Promotions Managers,0.16,0.157,0.6,0.08299999999999999,0.761,0.761,0.761,0.714,0.571,0.761,0.55,0.614,1.0,0.244,0.153,0.449
5,11-2021.00,Marketing Managers,0.035,0.057999999999999996,0.558,0.349,0.857,0.81,0.761,0.81,0.714,0.881,0.35,0.671,1.0,0.414,0.143,0.403
6,11-2022.00,Sales Managers,0.0,0.174,0.652,0.174,0.761,0.81,0.667,0.571,0.761,0.786,0.187,0.797,1.0,0.237,0.213,0.47
9,11-3012.00,Administrative Services Managers,0.336,0.382,0.243,0.041,0.667,0.81,0.667,0.904,0.571,0.667,0.144,0.919,0.93,0.29,0.227,0.53
12,11-3021.00,Computer and Information Systems Managers,0.013,0.34,0.477,0.172,0.761,0.714,0.761,0.619,0.81,0.929,0.214,0.817,0.727,0.631,0.366,0.344
13,11-3031.00,Financial Managers,0.142,0.08499999999999999,0.563,0.21,0.761,0.857,0.81,0.714,0.714,0.857,0.22,0.814,1.0,0.35,0.174,0.419
14,11-3031.01,Treasurers and Controllers,0.0,0.04,0.56,0.39999999999999997,0.81,0.81,0.714,0.571,0.761,0.833,0.183,0.879,0.889,0.343,0.143,0.386
15,11-3031.03,Investment Fund Managers,0.0,0.0,0.327,0.673,0.857,0.761,0.81,0.714,0.619,0.761,0.21,0.75,0.967,0.53,0.237,0.366
16,11-3051.00,Industrial Production Managers,0.347,0.35800000000000004,0.258,0.036000000000000004,0.714,0.857,0.714,0.761,0.714,0.81,0.19,0.756,0.846,0.42,0.604,0.261
17,11-3051.01,Quality Control Systems Managers,0.0,0.0,1.0,0.0,0.714,0.714,0.667,0.571,0.761,0.643,0.167,0.814,0.721,0.574,0.514,0.296
18,11-3051.02,Geothermal Production Managers,0.112,0.6920000000000001,0.146,0.05,0.857,0.81,0.857,0.667,0.571,0.857,0.143,0.689,0.654,0.479,0.764,0.296
19,11-3051.03,Biofuels Production Managers,0.14,0.33899999999999997,0.454,0.066,0.81,0.761,0.81,0.619,0.619,0.857,0.143,0.723,0.773,0.534,0.656,0.261
20,11-3051.04,Biomass Power Plant Managers,0.068,0.317,0.615,0.0,0.81,0.761,0.81,0.619,0.571,0.857,0.143,0.763,0.694,0.456,0.731,0.246
21,11-3051.06,Hydroelectric Production Managers,0.136,0.6439999999999999,0.148,0.072,0.857,0.81,0.81,0.667,0.571,0.857,0.143,0.717,0.653,0.52,0.767,0.261
22,11-3061.00,Purchasing Managers,0.053,0.316,0.526,0.105,0.571,0.667,0.619,0.571,0.714,0.761,0.2,0.793,1.0,0.287,0.291,0.396
24,11-3071.04,Supply Chain Managers,0.0,0.048,0.667,0.28500000000000003,0.667,0.81,0.619,0.619,0.714,0.739,0.143,0.771,0.901,0.364,0.489,0.293
25,11-3111.00,Compensation and Benefits Managers,0.0,0.0,0.762,0.238,0.761,0.81,0.714,0.857,0.81,0.81,0.213,0.794,1.0,0.349,0.143,0.527
26,11-3121.00,Human Resources Managers,0.0,0.044,0.739,0.21799999999999997,0.761,0.714,0.81,0.857,0.619,0.761,0.244,0.741,1.0,0.383,0.156,0.554
27,11-3131.00,Training and Development Managers,0.0,0.0,0.714,0.285,0.761,0.761,0.714,0.857,0.571,0.81,0.374,0.561,0.907,0.466,0.279,0.791
29,11-9021.00,Construction Managers,0.05,0.05,0.9,0.0,0.761,0.81,0.667,0.714,0.761,0.833,0.247,0.687,0.82,0.44,0.67,0.334
30,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",0.256,0.579,0.103,0.062,0.81,0.81,0.667,0.953,0.429,0.667,0.411,0.611,0.68,0.433,0.154,0.943
31,11-9032.00,"Education Administrators, Kindergarten through Secondary",0.091,0.0,0.066,0.8430000000000001,0.81,0.904,0.81,0.904,0.619,0.857,0.421,0.64,0.739,0.474,0.169,0.839
32,11-9033.00,"Education Administrators, Postsecondary",0.0,0.0,0.076,0.9229999999999999,0.857,0.904,0.761,0.857,0.619,0.833,0.416,0.667,0.741,0.571,0.143,0.829
34,11-9041.00,Architectural and Engineering Managers,0.0,0.012,0.455,0.534,0.857,0.857,0.761,0.571,0.714,0.857,0.38,0.654,0.911,0.637,0.453,0.406
35,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,0.013,0.10600000000000001,0.554,0.325,0.953,0.857,0.761,0.476,0.524,0.881,0.301,0.501,0.671,0.834,0.594,0.3
36,11-9051.00,Food Service Managers,0.7060000000000001,0.239,0.019,0.036,0.619,0.81,0.619,0.667,0.667,0.643,0.227,0.756,0.85,0.266,0.566,0.501
